fecha_fallecimiento,departamento,n,corte
2020-04-15,AREQUIPA,1,2020-08-01
2020-04-15,CALLAO,3,2020-08-01
2020-04-15,ICA,1,2020-08-01
2020-04-15,LA LIBERTAD,3,2020-08-01
2020-04-15,LAMBAYEQUE,15,2020-08-01
2020-04-15,LIMA,51,2020-08-01
2020-04-15,LORETO,3,2020-08-01
2020-04-15,PIURA,7,2020-08-01
2020-04-15,UCAYALI,2,2020-08-01
2020-04-16,ANCASH,3,2020-08-01
2020-04-16,AREQUIPA,1,2020-08-01
2020-04-16,CAJAMARCA,1,2020-08-01
2020-04-16,CALLAO,8,2020-08-01
2020-04-16,ICA,1,2020-08-01
2020-04-16,LAMBAYEQUE,13,2020-08-01
2020-04-16,LIMA,55,2020-08-01
2020-04-16,LORETO,3,2020-08-01
2020-04-16,PIURA,7,2020-08-01
2020-04-16,UCAYALI,1,2020-08-01
2020-04-17,ANCASH,1,2020-08-01
2020-04-17,CALLAO,6,2020-08-01
2020-04-17,ICA,2,2020-08-01
2020-04-17,LA LIBERTAD,1,2020-08-01
2020-04-17,LAMBAYEQUE,21,2020-08-01
2020-04-17,LIMA,50,2020-08-01
2020-04-17,LORETO,5,2020-08-01
2020-04-17,PASCO,1,2020-08-01
2020-04-17,PIURA,6,2020-08-01
2020-04-17,TUMBES,1,2020-08-01
2020-04-18,ANCASH,5,2020-08-01
2020-04-18,CALLAO,8,2020-08-01
2020-04-18,ICA,1,2020-08-01
2020-04-18,JUNIN,2,2020-08-01
2020-04-18,LA LIBERTAD,1,2020-08-01
2020-04-18,LAMBAYEQUE,15,2020-08-01
2020-04-18,LIMA,45,2020-08-01
2020-04-18,LORETO,4,2020-08-01
2020-04-18,PIURA,6,2020-08-01
2020-04-18,TUMBES,1,2020-08-01
2020-04-18,UCAYALI,2,2020-08-01
2020-04-19,ANCASH,7,2020-08-01
2020-04-19,AREQUIPA,3,2020-08-01
2020-04-19,CALLAO,3,2020-08-01
2020-04-19,ICA,3,2020-08-01
2020-04-19,JUNIN,2,2020-08-01
2020-04-19,LA LIBERTAD,3,2020-08-01
2020-04-19,LAMBAYEQUE,9,2020-08-01
2020-04-19,LIMA,57,2020-08-01
2020-04-19,PIURA,8,2020-08-01
2020-04-19,SAN MARTIN,1,2020-08-01
2020-04-19,TUMBES,2,2020-08-01
2020-04-19,UCAYALI,4,2020-08-01
2020-04-20,ANCASH,4,2020-08-01
2020-04-20,AREQUIPA,1,2020-08-01
2020-04-20,CALLAO,8,2020-08-01
2020-04-20,HUANCAVELICA,1,2020-08-01
2020-04-20,ICA,1,2020-08-01
2020-04-20,LA LIBERTAD,2,2020-08-01
2020-04-20,LAMBAYEQUE,11,2020-08-01
2020-04-20,LIMA,66,2020-08-01
2020-04-20,PIURA,7,2020-08-01
2020-04-20,PUNO,1,2020-08-01
2020-04-20,SAN MARTIN,1,2020-08-01
2020-04-20,TUMBES,1,2020-08-01
2020-04-20,UCAYALI,2,2020-08-01
2020-04-21,ANCASH,1,2020-08-01
2020-04-21,CALLAO,13,2020-08-01
2020-04-21,ICA,2,2020-08-01
2020-04-21,LAMBAYEQUE,10,2020-08-01
2020-04-21,LIMA,77,2020-08-01
2020-04-21,LORETO,2,2020-08-01
2020-04-21,PIURA,9,2020-08-01
2020-04-21,TUMBES,2,2020-08-01
2020-04-21,UCAYALI,3,2020-08-01
2020-04-22,ANCASH,1,2020-08-01
2020-04-22,CALLAO,8,2020-08-01
2020-04-22,CUSCO,1,2020-08-01
2020-04-22,ICA,5,2020-08-01
2020-04-22,JUNIN,1,2020-08-01
2020-04-22,LA LIBERTAD,2,2020-08-01
2020-04-22,LAMBAYEQUE,17,2020-08-01
2020-04-22,LIMA,78,2020-08-01
2020-04-22,LORETO,9,2020-08-01
2020-04-22,PIURA,4,2020-08-01
2020-04-22,TUMBES,3,2020-08-01
2020-04-22,UCAYALI,8,2020-08-01
2020-04-23,ANCASH,7,2020-08-01
2020-04-23,AREQUIPA,1,2020-08-01
2020-04-23,CALLAO,12,2020-08-01
2020-04-23,ICA,5,2020-08-01
2020-04-23,JUNIN,1,2020-08-01
2020-04-23,LA LIBERTAD,3,2020-08-01
2020-04-23,LAMBAYEQUE,22,2020-08-01
2020-04-23,LIMA,55,2020-08-01
2020-04-23,LORETO,16,2020-08-01
2020-04-23,PIURA,7,2020-08-01
2020-04-23,TACNA,1,2020-08-01
2020-04-23,TUMBES,1,2020-08-01
2020-04-23,UCAYALI,3,2020-08-01
2020-04-24,ANCASH,6,2020-08-01
2020-04-24,CALLAO,17,2020-08-01
2020-04-24,ICA,2,2020-08-01
2020-04-24,LA LIBERTAD,1,2020-08-01
2020-04-24,LAMBAYEQUE,21,2020-08-01
2020-04-24,LIMA,68,2020-08-01
2020-04-24,LORETO,12,2020-08-01
2020-04-24,PIURA,12,2020-08-01
2020-04-24,TUMBES,3,2020-08-01
2020-04-24,UCAYALI,4,2020-08-01
2020-04-25,ANCASH,4,2020-08-01
2020-04-25,AREQUIPA,2,2020-08-01
2020-04-25,CAJAMARCA,1,2020-08-01
2020-04-25,CALLAO,6,2020-08-01
2020-04-25,ICA,5,2020-08-01
2020-04-25,JUNIN,1,2020-08-01
2020-04-25,LAMBAYEQUE,26,2020-08-01
2020-04-25,LIMA,66,2020-08-01
2020-04-25,LORETO,17,2020-08-01
2020-04-25,MADRE DE DIOS,1,2020-08-01
2020-04-25,PIURA,8,2020-08-01
2020-04-25,TUMBES,2,2020-08-01
2020-04-25,UCAYALI,7,2020-08-01
2020-04-26,ANCASH,7,2020-08-01
2020-04-26,CALLAO,12,2020-08-01
2020-04-26,ICA,3,2020-08-01
2020-04-26,JUNIN,2,2020-08-01
2020-04-26,LA LIBERTAD,6,2020-08-01
2020-04-26,LAMBAYEQUE,19,2020-08-01
2020-04-26,LIMA,79,2020-08-01
2020-04-26,LORETO,16,2020-08-01
2020-04-26,PIURA,13,2020-08-01
2020-04-26,TUMBES,1,2020-08-01
2020-04-26,UCAYALI,7,2020-08-01
2020-04-27,ANCASH,14,2020-08-01
2020-04-27,CAJAMARCA,1,2020-08-01
2020-04-27,CALLAO,9,2020-08-01
2020-04-27,ICA,3,2020-08-01
2020-04-27,JUNIN,1,2020-08-01
2020-04-27,LA LIBERTAD,3,2020-08-01
2020-04-27,LAMBAYEQUE,28,2020-08-01
2020-04-27,LIMA,83,2020-08-01
2020-04-27,LORETO,13,2020-08-01
2020-04-27,PIURA,14,2020-08-01
2020-04-27,SAN MARTIN,1,2020-08-01
2020-04-27,UCAYALI,1,2020-08-01
2020-04-28,ANCASH,1,2020-08-01
2020-04-28,CALLAO,8,2020-08-01
2020-04-28,ICA,6,2020-08-01
2020-04-28,LA LIBERTAD,7,2020-08-01
2020-04-28,LAMBAYEQUE,26,2020-08-01
2020-04-28,LIMA,80,2020-08-01
2020-04-28,LORETO,26,2020-08-01
2020-04-28,PIURA,14,2020-08-01
2020-04-28,UCAYALI,3,2020-08-01
2020-04-29,ANCASH,4,2020-08-01
2020-04-29,CAJAMARCA,1,2020-08-01
2020-04-29,CALLAO,15,2020-08-01
2020-04-29,ICA,3,2020-08-01
2020-04-29,LA LIBERTAD,2,2020-08-01
2020-04-29,LAMBAYEQUE,21,2020-08-01
2020-04-29,LIMA,63,2020-08-01
2020-04-29,LORETO,28,2020-08-01
2020-04-29,PIURA,18,2020-08-01
2020-04-29,PUNO,1,2020-08-01
