fecha_fallecimiento,departamento,provincia,n,corte
2020-04-08,LIMA,CAÑETE,1,2020-08-01
2020-04-08,LIMA,HUAURA,1,2020-08-01
2020-04-08,LIMA,LIMA,36,2020-08-01
2020-04-08,LORETO,MAYNAS,1,2020-08-01
2020-04-08,PIURA,PIURA,2,2020-08-01
2020-04-09,CALLAO,CALLAO,3,2020-08-01
2020-04-09,ICA,ICA,2,2020-08-01
2020-04-09,LAMBAYEQUE,CHICLAYO,4,2020-08-01
2020-04-09,LAMBAYEQUE,FERREÑAFE,3,2020-08-01
2020-04-09,LAMBAYEQUE,LAMBAYEQUE,2,2020-08-01
2020-04-09,LAMBAYEQUE,NA,1,2020-08-01
2020-04-09,LIMA,CAÑETE,2,2020-08-01
2020-04-09,LIMA,HUAROCHIRI,1,2020-08-01
2020-04-09,LIMA,HUAURA,1,2020-08-01
2020-04-09,LIMA,LIMA,25,2020-08-01
2020-04-09,LORETO,MAYNAS,2,2020-08-01
2020-04-09,PIURA,PIURA,1,2020-08-01
2020-04-09,TUMBES,TUMBES,2,2020-08-01
2020-04-10,CALLAO,CALLAO,5,2020-08-01
2020-04-10,ICA,PISCO,1,2020-08-01
2020-04-10,LAMBAYEQUE,CHICLAYO,9,2020-08-01
2020-04-10,LAMBAYEQUE,FERREÑAFE,4,2020-08-01
2020-04-10,LAMBAYEQUE,LAMBAYEQUE,1,2020-08-01
2020-04-10,LAMBAYEQUE,PIURA,1,2020-08-01
2020-04-10,LIMA,HUAURA,1,2020-08-01
2020-04-10,LIMA,LIMA,23,2020-08-01
2020-04-10,LORETO,MAYNAS,2,2020-08-01
2020-04-10,PIURA,MORROPON,1,2020-08-01
2020-04-10,PIURA,PIURA,5,2020-08-01
2020-04-10,UCAYALI,CORONEL PORTILLO,1,2020-08-01
2020-04-11,CALLAO,CALLAO,3,2020-08-01
2020-04-11,ICA,ICA,1,2020-08-01
2020-04-11,ICA,PISCO,1,2020-08-01
2020-04-11,LAMBAYEQUE,CHICLAYO,6,2020-08-01
2020-04-11,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-04-11,LIMA,CAÑETE,1,2020-08-01
2020-04-11,LIMA,HUARAL,1,2020-08-01
2020-04-11,LIMA,LIMA,22,2020-08-01
2020-04-11,LIMA,NA,2,2020-08-01
2020-04-11,LORETO,MAYNAS,1,2020-08-01
2020-04-11,PIURA,PIURA,2,2020-08-01
2020-04-11,PIURA,TALARA,1,2020-08-01
2020-04-11,TUMBES,ZARUMILLA,2,2020-08-01
2020-04-12,ANCASH,CARHUAZ,1,2020-08-01
2020-04-12,ANCASH,SANTA,1,2020-08-01
2020-04-12,AREQUIPA,AREQUIPA,1,2020-08-01
2020-04-12,CALLAO,CALLAO,3,2020-08-01
2020-04-12,CALLAO,NA,1,2020-08-01
2020-04-12,ICA,CHINCHA,1,2020-08-01
2020-04-12,LA LIBERTAD,CHEPEN,1,2020-08-01
2020-04-12,LA LIBERTAD,TRUJILLO,2,2020-08-01
2020-04-12,LAMBAYEQUE,CHICLAYO,3,2020-08-01
2020-04-12,LAMBAYEQUE,FERREÑAFE,3,2020-08-01
2020-04-12,LAMBAYEQUE,LAMBAYEQUE,1,2020-08-01
2020-04-12,LAMBAYEQUE,NA,1,2020-08-01
2020-04-12,LIMA,LIMA,34,2020-08-01
2020-04-12,LIMA,NA,1,2020-08-01
2020-04-12,LORETO,MAYNAS,1,2020-08-01
2020-04-12,LORETO,REQUENA,1,2020-08-01
2020-04-12,PIURA,PIURA,3,2020-08-01
2020-04-12,PIURA,SULLANA,1,2020-08-01
2020-04-12,TUMBES,TUMBES,1,2020-08-01
2020-04-13,ANCASH,SANTA,1,2020-08-01
2020-04-13,AREQUIPA,AREQUIPA,1,2020-08-01
2020-04-13,CAJAMARCA,JAEN,1,2020-08-01
2020-04-13,CAJAMARCA,SANTA CRUZ,1,2020-08-01
2020-04-13,CALLAO,CALLAO,4,2020-08-01
2020-04-13,CALLAO,NA,2,2020-08-01
2020-04-13,ICA,CHINCHA,1,2020-08-01
2020-04-13,ICA,PALPA,1,2020-08-01
2020-04-13,ICA,PISCO,1,2020-08-01
2020-04-13,JUNIN,YAULI,1,2020-08-01
2020-04-13,LA LIBERTAD,ASCOPE,1,2020-08-01
2020-04-13,LAMBAYEQUE,FERREÑAFE,2,2020-08-01
2020-04-13,LAMBAYEQUE,LAMBAYEQUE,2,2020-08-01
2020-04-13,LAMBAYEQUE,NA,1,2020-08-01
2020-04-13,LIMA,HUAURA,1,2020-08-01
2020-04-13,LIMA,LIMA,27,2020-08-01
2020-04-13,LIMA,NA,1,2020-08-01
2020-04-13,LORETO,MAYNAS,1,2020-08-01
2020-04-13,PIURA,PIURA,5,2020-08-01
